cohort_label,app_du,metric,predictive_minus_reactive,load_weight
broad,app_3988,scaling_actions,285.0,266.2517384259241
broad,app_3988,sla_violation,0.008413461538461502,266.2517384259241
broad,app_3988,average_capacity,7.988416702812145,266.2517384259241
broad,app_4038,over_provisioning,-11.749104252673504,2540.029849768516
broad,app_4038,scaling_actions,-105.0,2540.029849768516
broad,app_4038,sla_violation,0.003004807692307699,2540.029849768516
broad,app_4038,average_capacity,40.446739268418696,2540.029849768516
broad,app_4077,over_provisioning,-23.7410235675459,245.3667285879628
broad,app_4077,scaling_actions,260.0,245.3667285879628
broad,app_4077,sla_violation,0.0480769230769231,245.3667285879628
broad,app_4077,average_capacity,-11.462454999369541,245.3667285879628
broad,app_4142,over_provisioning,2.6537804200667505,60.23493402777745
broad,app_4142,scaling_actions,261.0,60.23493402777745
broad,app_4142,sla_violation,-0.009014423076922996,60.23493402777745
broad,app_4142,average_capacity,5.189392334332137,60.23493402777745
broad,app_4220,over_provisioning,-1.1979628324300506,1248.9123373842604
broad,app_4220,scaling_actions,-133.0,1248.9123373842604
broad,app_4220,sla_violation,-0.017427884615384602,1248.9123373842604
broad,app_4220,average_capacity,29.55462325485388,1248.9123373842604
broad,app_4265,over_provisioning,-46.75867273659276,403.3387155671271
broad,app_4265,scaling_actions,241.0,403.3387155671271
broad,app_4265,sla_violation,0.0120192307692308,403.3387155671271
broad,app_4265,average_capacity,-31.19580471724055,403.3387155671271
broad,app_4353,over_provisioning,-14.585489061597663,148.02981741898142
broad,app_4353,scaling_actions,413.0,148.02981741898142
broad,app_4353,sla_violation,-0.0006009615384615,148.02981741898142
broad,app_4353,average_capacity,-8.517148992487101,148.02981741898142
broad,app_4371,over_provisioning,-17.764088385906796,265.99859809027777
broad,app_4371,scaling_actions,254.0,265.99859809027777
broad,app_4371,sla_violation,0.001201923076923,265.99859809027777
broad,app_4371,average_capacity,-6.674868385650399,265.99859809027777
broad,app_442,over_provisioning,-45.88415424648228,2162.4403758101835
broad,app_442,scaling_actions,55.0,2162.4403758101835
broad,app_442,sla_violation,0.0048076923076923,2162.4403758101835
broad,app_442,average_capacity,2.653619478791086,2162.4403758101835
broad,app_4456,over_provisioning,-17.765457423142607,1544.0871830439803
broad,app_4456,scaling_actions,-54.0,1544.0871830439803
broad,app_4456,sla_violation,0.027043269230769298,1544.0871830439803
broad,app_4456,average_capacity,43.593030682075664,1544.0871830439803
broad,app_4474,over_provisioning,-10.792656215748547,311.2635555555555
broad,app_4474,scaling_actions,148.0,311.2635555555555
broad,app_4474,sla_violation,0.0114182692307692,311.2635555555555
broad,app_4474,average_capacity,-3.981458368548047,311.2635555555555
