minute_index,app_du,active_container_count,service_cpu_utilization_mean,service_memory_utilization_mean,service_cpu_used_cores_proxy,service_cpu_request_cores_total,mean_container_mem_size,service_sample_count,service_cpu_utilization_weighted,imputed
1593,app_141,171.0,15.457115009746587,98.6593567251462,211.45333333333335,1368.0,3.13,239,15.457115009746591,0
1594,app_141,163.0,15.372699386503067,99.16871165644172,200.46,1304.0,3.13,228,15.372699386503067,0
1595,app_141,163.0,15.41155419222904,98.6319018404908,200.96666666666667,1304.0,3.13,215,15.41155419222904,0
1596,app_141,164.0,14.09451219512195,98.61839430894308,184.92000000000002,1312.0,3.1299999999999994,222,14.09451219512195,0
1597,app_141,168.0,14.557539682539682,98.6329365079365,195.65333333333334,1344.0,3.1300000000000003,225,14.557539682539682,0
1598,app_141,145.0,14.05919540229885,98.55,163.08666666666667,1160.0,3.13,199,14.059195402298851,0
1599,app_141,163.0,14.514314928425359,99.07055214723927,189.26666666666668,1304.0,3.13,224,14.514314928425359,0
1600,app_141,164.0,14.83130081300813,98.51422764227642,194.58666666666667,1312.0,3.1299999999999994,221,14.83130081300813,0
1601,app_141,157.0,14.636411889596602,98.46284501061571,183.83333333333334,1256.0,3.13,224,14.636411889596605,0
1602,app_141,189.0,14.528218694885362,99.0515873015873,219.66666666666669,1512.0,3.1299999999999994,249,14.528218694885362,0
1603,app_141,176.0,14.835700757575758,98.55918560606061,208.88666666666668,1408.0,3.13,239,14.835700757575758,0
1604,app_141,175.0,15.008571428571429,99.04190476190476,210.12,1400.0,3.13,230,15.008571428571429,0
1605,app_141,172.0,15.02422480620155,99.11240310077518,206.73333333333335,1376.0,3.13,238,15.024224806201552,0
1606,app_141,176.0,14.661931818181818,98.54261363636364,206.44,1408.0,3.13,244,14.661931818181818,0
1607,app_141,190.0,14.875,98.67719298245615,226.1,1520.0,3.1299999999999994,263,14.875,0
1608,app_141,188.0,14.069592198581562,98.64627659574468,211.60666666666668,1504.0,3.13,267,14.069592198581562,0
1609,app_141,180.0,14.189814814814813,98.49537037037038,204.33333333333334,1440.0,3.13,260,14.189814814814817,0
1610,app_141,183.0,15.092440801457194,98.52732240437159,220.95333333333335,1464.0,3.13,261,15.092440801457197,0
1611,app_141,183.0,14.501366120218579,98.55555555555556,212.3,1464.0,3.13,260,14.501366120218579,0
1612,app_141,184.0,14.320199275362318,98.57246376811594,210.79333333333335,1472.0,3.13,255,14.32019927536232,0
1613,app_141,189.0,13.912257495590827,98.55026455026454,210.35333333333335,1512.0,3.1299999999999994,258,13.912257495590831,0
1614,app_141,185.0,14.074774774774776,99.04504504504504,208.30666666666667,1480.0,3.13,246,14.074774774774776,0
1615,app_141,170.0,13.644117647058824,98.56764705882352,185.56,1360.0,3.1300000000000003,227,13.644117647058824,0
1616,app_141,170.0,14.11078431372549,99.02058823529411,191.90666666666667,1360.0,3.1300000000000003,231,14.11078431372549,0
1617,app_141,175.0,14.311190476190477,98.58857142857143,200.35666666666668,1400.0,3.13,240,14.311190476190477,0
1618,app_141,187.0,14.071746880570409,98.53832442067737,210.51333333333335,1496.0,3.13,262,14.071746880570412,0
1619,app_141,166.0,14.124497991967871,98.41867469879519,187.57333333333335,1328.0,3.1299999999999994,233,14.124497991967873,0
1620,app_141,173.0,14.635356454720617,99.0,202.55333333333334,1384.0,3.13,248,14.635356454720618,0
1621,app_141,174.0,15.00095785440613,99.0478927203065,208.81333333333333,1392.0,3.13,234,15.00095785440613,0
1622,app_141,198.0,15.28661616161616,98.97264309764309,242.14000000000001,1584.0,3.13,276,15.28661616161616,0
1623,app_141,168.0,15.055555555555557,98.59821428571429,202.34666666666666,1344.0,3.1300000000000003,222,15.055555555555557,0
1624,app_141,190.0,15.260964912280702,98.61359649122807,231.96666666666667,1520.0,3.1299999999999994,276,15.260964912280702,0
1625,app_141,196.0,15.59889455782313,99.11309523809524,244.59066666666666,1568.0,3.13,269,15.59889455782313,0
1626,app_141,180.0,14.956018518518519,99.12800925925927,215.36666666666667,1440.0,3.13,250,14.956018518518519,0
1627,app_141,185.0,15.584234234234236,98.9990990990991,230.64666666666668,1480.0,3.13,245,15.584234234234236,0
1628,app_141,181.0,16.430939226519335,99.0865561694291,237.92000000000002,1448.0,3.13,251,16.430939226519335,0
1629,app_141,172.0,16.162790697674417,99.16472868217053,222.4,1376.0,3.13,234,16.162790697674417,0
1630,app_141,186.0,16.72356630824373,98.56720430107526,248.84666666666666,1488.0,3.13,244,16.72356630824373,0
1631,app_141,177.0,16.516007532956685,98.54378531073446,233.86666666666667,1416.0,3.13,246,16.516007532956685,0
1632,app_141,188.0,15.808510638297872,98.63031914893617,237.76,1504.0,3.13,254,15.808510638297872,0
1633,app_141,183.0,15.915300546448087,99.07468123861567,233.0,1464.0,3.13,250,15.915300546448087,0
